Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate
Brazil,8.32,7352.28,95.9,0.02,7.9,0.0,0.1,2.8,0.2,0.06,0.81,6.15,319900.0,2005,8529118.0,57666.0,0.19,26.1,186797340.0,34.0,1.8201543983442162e-07,97.09351348876952,154176529.0,31950579.0,50.570289611816406,82.83,6.3
Brunei,0.21,34441.12,9.4,75.1,0.4,0.5,8.6,6.2,0.1,0.0,0,8.48,0.0,2005,5554.0,4.0,0.78,24.0,366728.0,0.0,0.0,100.0,267127.0,97985.0,48.93922805786133,73.16,5.1
Bulgaria,11.42,5230.98,64.7,9.8,15.9,0.0,0.0,0.03,0.1,9.5,0.63,10.34,169446.0,2005,278117.0,209.0,0.76,40.0,7815221.0,0.0,0.0,100.0,5406009.0,2252963.0,51.33771896362305,70.58,14.1
Burkina Faso,9.19,518.17,22.5,62.0,0.4,0.0,0.0,15.4,0.0,0.0,0.45,1.31,0.0,2005,418671.0,1367.0,0.34,16.0,13876134.0,6.0,4.323970927349073e-07,11.254327774047852,2890682.0,10531253.0,50.6628303527832,21.54,12.9
Burundi,8.44,295.74,91.5,10.0,0.0,0.0,0.0,5.7,0.0,0.0,0.24,2.27,0.0,2005,250380.0,396.0,0.22,15.7,7388869.0,12921.0,0.0017487114739752458,3.2073171138763428,690455.0,6674402.0,50.721282958984375,9.38,15.8
Cambodia,2.69,696.34,0.4,2.0,0.2,0.1,96.9,0.6,0.0,0.0,0.2,3.52,0.0,2005,350473.0,509.0,0.25,20.0,13246588.0,1.0,7.549113779336988e-08,20.5,2545033.0,10728322.0,51.46664047241211,19.17,6.1
Cameroon,7.62,1217.76,70.3,30.0,5.3,0.0,0.0,3.3,2.7,0.0,0.2,4.78,0.0,2005,587938.0,1759.0,0.37,16.4,17275174.0,48.0,2.7785537789662785e-06,47.28193283081055,8607974.0,9125434.0,50.1664924621582,48.54,15.5
Canada,0.0,38573.2,72.0,2.1,23.7,1.4,0.8,1.2,0.9,1.0,0.75,13.19,29134.0,2005,1147295.0,662.0,3.06,37.6,32215914.0,4.0,1.2416223857563066e-07,100.0,25834340.0,6409413.0,50.42504501342773,80.12,11.6
Cape Verde,6.95,2410.77,89.1,2.0,9.1,0.0,0.0,1.5,0.2,0.0,0.67,4.31,0.0,2005,19801.0,39.0,0.16,19.4,492841.0,0.0,0.0,67.0,267120.0,195914.0,51.34525680541992,57.69,18.1
Central African Republic,3.62,454.51,89.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,3.26,0.0,2005,183536.0,962.0,0.36,15.9,4208845.0,8.0,1.9007589968269204e-06,7.478044509887695,1537371.0,2501009.0,50.57726287841797,38.07,21.8
Chad,4.62,676.16,40.6,58.0,2.5,0.0,0.0,1.4,0.1,0.0,0.12,1.54,0.0,2005,328789.0,1118.0,0.15,14.7,10005013.0,417.0,4.167910626402984e-05,4.863693714141846,2201166.0,7895464.0,50.16658020019531,21.8,15.2
Chile,8.93,10349.64,89.4,0.0,8.6,0.0,0.06,1.5,0.2,0.1,0.8,9.74,788551.0,2005,691190.0,952.0,0.23,29.9,16175315.0,0.0,0.0,97.76531219482422,14043844.0,2138869.0,50.793941497802734,86.78,11.2
China,4.02,3390.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6.33,1350000.0,2005,42847068.0,21984.0,0.87,31.7,1304887600.0,25.0,1.9158738269870906e-08,98.22442626953124,554367818.0,749352182.0,48.64006423950195,42.52,12.9
Colombia,5.41,4402.9,86.0,0.2,11.0,0.01,0.01,1.0,2.0,0.01,0.36,7.28,0.0,2005,1055518.0,25373.0,0.15,24.5,42220944.0,1657.0,3.924592496084408e-05,96.8000030517578,32422511.0,10225220.0,50.99131393432617,76.02,6.3
Comoros,0.44,1182.21,0.2,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.35,3.07,0.0,2005,19872.0,59.0,0.22,16.1,592691.0,0.0,0.0,51.1795539855957,170490.0,441135.0,49.640384674072266,27.88,7.6
Congo,3.75,2171.44,85.9,2.0,9.0,0.0,0.0,2.8,1.1,0.0,0.17,5.62,0.0,2005,174027.0,424.0,0.55,18.0,3672845.0,15.0,4.0840275045639e-06,33.79999923706055,2209458.0,1413317.0,50.435646057128906,60.99,14.8
Costa Rica,5.42,8606.33,90.9,0.0,7.9,0.0,0.0,0.8,0.3,0.0,0.85,7.83,0.0,2005,129019.0,336.0,0.3,26.2,4315894.0,0.0,0.0,99.05305480957033,2814376.0,1471128.0,49.86386489868164,65.67,7.3
Cote d'Ivoire,3.3,1565.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5.78,0.0,2005,538675.0,2538.0,0.25,16.2,18970216.0,148.0,7.801703470324217e-06,58.900001525878906,8302480.0,10052033.0,48.900089263916016,45.23,16.0
Croatia,10.31,11399.78,87.46,1.32,6.39,0.0,0.0,0.0,1.87,3.86,0.58,10.41,77300.0,2005,174785.0,59.0,2.03,39.3,4429687.0,5.0,1.128747922821635e-06,100.0,2341055.0,1969090.0,51.84368896484375,54.31,15.3
Cuba,5.36,5182.82,59.2,0.0,23.0,0.2,0.0,17.4,0.0,0.0,0.06,10.57,9500.0,2005,532694.0,714.0,0.12,34.7,11246113.0,0.0,0.0,96.78825378417967,8573896.0,2687690.0,50.15608978271485,76.13,12.2
Cyprus,12.43,25629.58,73.2,25.3,1.2,0.0,0.2,0.0,0.0,0.0,0.75,10.72,28885.0,2005,34100.0,20.0,1.06,31.6,1037070.0,0.0,0.0,100.0,701561.0,326096.0,49.35333633422852,68.27,4.6
Czechia,14.76,14978.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,11.93,55000.0,2005,385662.0,124.0,0.63,37.8,10280122.0,0.0,0.0,100.0,7515659.0,2695557.0,51.29189300537109,73.6,13.7
Democratic Republic of Congo,0.86,363.67,95.8,1.9,1.8,0.05,0.0,0.7,0.1,3e-05,0.13,5.16,0.0,2005,2314484.0,7777.0,0.3,15.7,56550244.0,556.0,9.831964650762603e-06,6.0,20534301.0,34251593.0,50.31237030029297,37.48,12.9
Denmark,12.29,51835.83,83.5,4.1,11.8,0.4,0.2,0.0,0.0,0.0,0.87,12.83,0.0,2005,227683.0,63.0,3.3,38.5,5436314.0,1.0,1.8394816782106405e-07,100.0,4652908.0,766524.0,50.47076416015625,85.86,10.9
Djibouti,1.28,2013.0,2.3,96.9,0.2,0.0,0.0,0.3,0.0,0.2,0.14,3.74,0.0,2005,26589.0,64.0,0.28,19.8,830863.0,0.0,0.0,56.25354766845703,601229.0,182019.0,49.7443962097168,76.76,10.4
Dominica,8.72,6501.41,94.4,0.1,0.5,0.0,0.1,3.0,1.7,0.0,0,7.8,0.0,2005,2119.0,,0.75,28.6,68686.0,0.0,0.0,87.5364761352539,47007.0,23573.0,0.5,66.6,5.0
Dominican Republic,6.15,4647.04,88.0,0.0,10.9,0.0,0.0,0.9,0.1,0.0,0.48,6.85,0.0,2005,332691.0,2461.0,0.22,22.6,9164770.0,0.0,0.0,90.14122772216795,6128825.0,2968437.0,49.70281219482422,67.37,7.3
Ecuador,5.81,4892.69,94.1,0.0,5.5,0.0,0.0,0.3,0.0,0.0,0.41,7.6,0.0,2005,415506.0,3099.0,0.37,22.4,13770015.0,0.0,0.0,95.83264923095705,8532064.0,5293775.0,49.849857330322266,61.71,9.6
Egypt,0.29,2830.35,11.2,88.9,0.0,0.0,0.0,0.0,0.0,0.1,0.15,6.41,6800.0,2005,2561056.0,2506.0,0.07,21.2,79075310.0,130.0,1.6440024073253712e-06,99.4000015258789,32495529.0,43028047.0,49.555320739746094,43.03,3.5
El Salvador,3.8,3140.03,88.2,0.0,11.0,0.0,0.0,0.5,0.3,0.0,0.35,5.6,0.0,2005,185301.0,4274.0,0.13,21.7,6037817.0,0.0,0.0,87.52584075927734,3731013.0,2321111.0,52.27210998535156,61.65,9.1
Equatorial Guinea,8.91,12908.06,88.7,10.0,5.0,0.0,0.0,1.7,0.5,0.0,0.07,5.41,0.0,2005,32889.0,29.0,0.34,18.2,864740.0,0.0,0.0,65.56535339355469,432777.0,316750.0,46.92692947387695,57.74,10.1
Eritrea,2.08,762.4,50.0,48.0,0.1,0.0,0.0,0.4,0.0,0.0,0.02,3.68,0.0,2005,165655.0,361.0,0.3,17.2,2831735.0,161.0,5.685560266055969e-05,34.69240951538086,879061.0,1947592.0,50.10604476928711,31.1,15.8
Estonia,15.65,14631.39,39.9,0.2,59.6,0.0,0.0,0.0,0.0,0.1,0.76,13.03,0.0,2005,72671.0,137.0,5.68,38.3,1354665.0,0.0,0.0,100.0,931205.0,423570.0,53.52886199951172,68.74,21.0
Eswatini,6.71,2902.1,88.1,2.0,10.1,0.1,0.0,1.0,0.4,0.0,0.08,3.13,0.0,2005,34085.0,230.0,0.56,17.3,1071895.0,0.0,0.0,34.19464111328125,227118.0,803457.0,52.52834701538086,22.04,31.1
Ethiopia,2.05,310.48,54.0,42.6,0.06,0.0,0.0,2.6,0.0,1.0,0.15,1.81,3214.0,2005,2377808.0,7335.0,0.35,15.4,77469944.0,244.0,3.149608575940109e-06,14.0,11986371.0,64359939.0,50.1297721862793,15.7,15.1
