Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Moldova,15.54,2254.93,97.4,0.6,1.4,0.0,0.0,0.6,0.0,0.0,0.26,11.49,132560.0,2010,291.5,374.0,0.7,33.2,3678186.0,0.0,0.0,100.0,1219566.0,1641921.0,51.922645568847656
Mongolia,9.65,2629.65,2.3,3.2,35.9,0.01,55.1,3.5,0.0,0.0,0.61,10.04,0.0,2010,291.5,274.0,0.6,24.4,2702527.0,0.0,0.0,78.50208282470703,1837756.0,882146.0,50.40409469604492
Montenegro,15.07,5979.52,78.1,18.7,3.2,0.0,0.0,0.0,0.0,0.0,0.37,11.18,17986.0,2010,291.5,21.0,0.18,35.2,631048.0,0.0,0.0,100.0,397301.0,222127.0,50.61839294433594
Morocco,0.9,2534.26,0.06,99.9,0.0,0.0,0.0,0.0,0.01,0.04,0.22,4.24,33695.0,2010,291.5,509.0,1.01,24.9,32464866.0,14.0,4.312354161572698e-07,92.67137908935548,18764985.0,13578399.0,50.69526672363281
Mozambique,1.63,479.88,56.7,18.0,17.9,0.0,0.0,7.4,0.0,0.0,0.35,2.48,0.0,2010,291.5,272.92,0.64,16.0,23073732.0,7.0,3.033752840676142e-07,18.802736282348636,7490098.0,16041469.0,51.76142501831055
Myanmar,2.9,902.54,7.6,4.0,0.5,2.1,80.0,5.8,0.2,0.0,0.04,4.59,0.0,2010,291.5,272.92,0.39,25.7,49390988.0,220.0,4.454253881295106e-06,48.79999923706055,14616049.0,35984778.0,51.78239440917969
Namibia,1.99,4147.32,97.5,0.3,1.9,0.0,0.0,0.2,0.0,0.0,0.54,6.4,0.0,2010,291.5,389.0,0.3,19.3,2099275.0,0.0,0.0,44.61073684692383,881792.0,1237085.0,51.67180633544922
Nauru,5.73,4116.75,79.0,0.01,4.5,0.0,1.1,8.1,7.4,0.0,0,8.0002,0.0,2010,267.0,272.92,0.95,20.7,10262.0,0.0,0.0,99.1706314086914,10009.0,0.0,0.5
Nepal,1.94,731.66,0.45,4.6,0.0,84.0,10.0,3.7,0.07,0.0,0.16,3.45,0.0,2010,291.5,889.0,0.12,20.2,27161572.0,27.0,9.940514488631217e-07,68.5999984741211,4529575.0,22483632.0,50.777374267578125
Netherlands,10.21,44390.5,50.6,6.0,42.1,0.5,0.2,0.2,0.2,0.2,0.8,11.98,0.0,2010,291.5,152.0,0.74,39.8,16617121.0,3.0,1.8053668863577513e-07,100.0,14477657.0,2137737.0,50.34202194213867
New Zealand,11.32,35406.68,37.0,1.31,48.47,2.63,1.12,0.4,3.27,0.11,0.77,13.38,190000.0,2010,291.5,55.0,1.21,35.9,4346345.0,0.0,0.0,100.0,3748563.0,602137.0,50.89854431152344
Nicaragua,4.79,1679.04,85.8,0.0,12.5,0.0,0.0,1.4,0.1,0.0,0.48,6.0,0.0,2010,291.5,858.0,0.2,20.9,5855736.0,0.0,0.0,78.15121459960938,3314879.0,2509179.0,50.73744201660156
Niger,0.31,443.35,0.8,98.4,0.7,0.0,0.0,0.0,0.0,0.0,0.46,1.53,0.0,2010,291.5,272.92,0.11,14.4,16647545.0,20.0,1.201378341371055e-06,13.27749252319336,2670629.0,13793396.0,50.030372619628906
Nigeria,11.72,2403.65,38.23,61.34,0.04,0.0,0.01,1.0,0.06,0.0,0.34,5.25,0.0,2010,291.5,272.92,0.19,16.7,160952860.0,1497.0,9.300859891523518e-06,48.0,68917193.0,89586010.0,49.42613983154297
North Korea,3.78,11936.7626,2.0,0.0,71.3,0.0,1.5,12.3,12.9,0.0,0.01,8.0002,0.0,2010,291.5,272.92,0.97,32.9,24686436.0,0.0,0.0,29.251182556152344,14821853.0,9726987.0,51.13977813720703
North Macedonia,5.93,4339.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,8.5,77209.0,2010,291.5,53.0,0.59,34.5,2093828.0,0.0,0.0,100.0,1173181.0,881823.0,50.02141571044922
Norway,8.94,72426.56,84.7,3.7,10.1,0.5,0.6,0.0,0.2,0.0,0.87,12.55,0.0,2010,291.5,33.0,5.35,37.7,4889747.0,5.0,1.0225477923499928e-06,100.0,3867496.0,1021756.0,50.01017379760742
Oman,0.73,20640.31,6.5,85.9,0.2,5.5,0.8,0.0,1.0,0.0,0.05,7.92,0.0,2010,291.5,23.0,0.46,24.4,2881915.0,0.0,0.0,100.0,2285973.0,755462.0,39.68149948120117
Pakistan,0.19,1238.87,1.27,96.47,0.0,2.14,0.0,0.0,0.01,0.01,0.28,4.59,0.0,2010,291.5,272.92,0.65,18.8,194454500.0,11537.0,5.933007464471123e-05,70.76802062988281,62793242.0,116631401.0,48.48701477050781
Panama,6.84,10232.36,93.0,0.7,4.8,0.0,0.2,0.4,0.4,0.4,0.65,9.28,184.0,2010,291.5,915.0,0.36,25.9,3623622.0,0.0,0.0,86.8499984741211,2372849.0,1269842.0,49.75593566894531
Papua New Guinea,1.67,2235.1,99.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.32,3.95,0.0,2010,291.5,786.0,0.27,19.8,7583269.0,0.0,0.0,19.5,951756.0,6358756.0,49.11677932739258
Paraguay,7.58,4767.28,96.9,0.0,1.1,0.0,0.0,1.7,0.2,0.0,0.35,7.24,1300.0,2010,291.5,842.0,0.16,22.0,5768618.0,2.0,3.467034912001453e-07,97.4308624267578,3702637.0,2545380.0,49.135398864746094
Peru,7.69,5177.84,93.0,0.0,6.5,0.0,0.2,1.0,0.3,0.0,0.68,8.87,52000.0,2010,291.5,272.92,0.6,25.0,29229576.0,29.0,9.921457635923285e-07,88.12306213378906,22185856.0,6841824.0,50.13759613037109
Philippines,6.98,2433.01,85.0,5.5,0.1,0.01,1.5,1.5,0.1,0.03,0.42,8.91,0.0,2010,291.5,272.92,0.25,21.8,94636700.0,527.0,5.568664165170594e-06,85.39764404296875,42597023.0,51369761.0,49.55908584594727
Poland,11.21,10858.54,94.3,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.69,12.31,0.0,2010,291.5,401.0,0.37,36.9,38597356.0,0.0,0.0,100.0,23165018.0,14877776.0,51.650672912597656
Portugal,12.51,19670.36,93.8,0.6,4.4,0.1,0.6,0.5,0.0,0.0,0.81,8.06,714792.0,2010,291.5,157.0,0.31,40.5,10588401.0,0.0,0.0,100.0,6403809.0,4169291.0,52.14373779296875
Qatar,1.69,63001.71,14.2,65.5,0.9,15.1,3.1,0.0,0.7,0.0,0.08,8.55,0.0,2010,291.5,10.0,0.28,30.0,1713512.0,0.0,0.0,100.0,1828503.0,27826.0,23.54323959350586
Romania,13.97,7626.29,84.82,0.31,0.68,0.0,0.0,0.01,0.12,13.04,0.42,10.73,328724.0,2010,291.5,524.0,0.69,38.3,20335212.0,0.0,0.0,100.0,10898688.0,9348183.0,51.445457458496094
Russia,15.87,8755.11,73.3,10.0,16.2,0.0,0.1,0.2,0.0,0.2,0.21,12.41,760530.0,2010,291.5,272.92,6.33,36.9,143242600.0,1139.0,7.951545140900822e-06,100.0,105261487.0,37587981.0,53.62292098999024
Rwanda,10.27,599.21,93.4,4.8,3.6,0.0,0.0,1.0,0.2,0.0,0.19,3.76,0.0,2010,291.5,483.0,0.2,17.6,10309032.0,226.0,2.1922523860630173e-05,9.699999809265137,1700061.0,8339277.0,50.98402786254883
Saint Kitts and Nevis,9.45,16718.1,94.6,0.3,1.6,1.5,0.0,1.3,0.8,0.0,0,7.85,0.0,2010,291.5,272.92,0.36,29.4,47429.0,0.0,0.0,99.84339141845705,15351.0,33660.0,0.5
Saint Lucia,9.69,10151.05,91.1,0.1,6.0,0.3,0.0,0.5,2.0,0.0,0,8.37,0.0,2010,291.5,41.0,0.3,28.6,170950.0,0.0,0.0,94.1999969482422,32120.0,141972.0,50.78579330444336
Saint Vincent and the Grenadines,7.03,6617.78,88.7,1.5,2.5,3.4,0.0,2.0,2.0,0.0,0,8.26,0.0,2010,291.5,23.0,0.23,28.0,109324.0,0.0,0.0,92.799560546875,53005.0,55255.0,49.1021614074707
Samoa,2.97,4080.92,96.8,0.1,2.5,0.0,0.0,0.0,0.3,0.0,0,11.6,0.0,2010,291.5,7.0,0.45,19.1,194686.0,0.0,0.0,96.36105346679688,37334.0,148610.0,48.38284683227539
Sao Tome and Principe,8.34,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.27,0.0,2010,291.5,13.0,0.47,17.7,182154.0,0.0,0.0,61.37215805053711,117155.0,63217.0,50.01607894897461
Saudi Arabia,0.17,18568.37,4.4,93.0,0.7,1.1,0.3,0.3,0.3,0.0,0.06,8.95,0.0,2010,291.5,462.0,0.46,25.3,29411930.0,1.0,3.399980892107386e-08,100.0,22508638.0,4912830.0,43.7393684387207
Senegal,0.6,1149.65,5.0,92.0,0.2,0.0,0.0,2.8,0.0,0.0,0.61,2.22,0.0,2010,291.5,272.92,0.17,17.1,12530128.0,23.0,1.83557582173143e-06,56.5,5549604.0,7128539.0,51.31531524658203
Serbia,11.69,5206.09,92.5,4.2,3.3,0.0,0.0,0.0,0.0,0.0,0.56,10.37,238233.0,2010,291.5,174.0,0.75,40.8,7653749.0,2.0,2.6130984959135715e-07,99.71839904785156,4009779.0,3281657.0,50.99163055419922
Seychelles,10.19,12080.94,94.0,1.1,2.1,2.1,0.0,0.0,0.6,0.0,0.31,10.33,0.0,2010,291.5,12.0,0.69,29.2,92424.0,0.0,0.0,97.0,47880.0,41890.0,48.40533447265625
Sierra Leone,5.83,535.82,21.0,78.0,0.1,0.0,0.0,1.0,0.0,0.0,0.43,3.68,0.0,2010,291.5,577.0,0.16,17.1,6436699.0,0.0,0.0,11.462173461914062,2492860.0,3922776.0,50.23712539672852
Singapore,2.19,48668.58,18.2,14.3,16.4,6.0,33.9,2.3,9.7,0.0,0.31,11.18,0.0,2010,291.5,31.0,0.19,36.8,5163585.0,0.0,0.0,100.0,5076732.0,0.0,47.864891052246094
Slovakia,12.0,14526.4,68.8,0.1,23.8,0.02,0.1,0.04,0.7,6.5,0.71,12.27,27785.0,2010,291.5,88.0,0.32,36.2,5396428.0,0.0,0.0,100.0,2948302.0,2443126.0,51.49535751342773
Slovenia,11.54,20612.59,78.4,3.6,18.0,0.0,0.0,0.0,0.0,0.0,0.7,12.06,22680.0,2010,291.5,10.0,1.23,40.3,2057294.0,0.0,0.0,100.0,1078743.0,969840.0,50.44960784912109
Solomon Islands,1.6,2099.33,97.4,0.1,0.2,0.0,0.3,1.3,0.7,0.0,0.33,5.1,0.0,2010,291.5,26.0,0.65,18.2,540402.0,0.0,0.0,34.77480697631836,105826.0,422035.0,49.19382095336914
Somalia,0.28,2013.0,0.01,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,8.0002,0.0,2010,291.5,726.0,0.19,14.7,12026650.0,3202.0,0.00026624205410484216,52.16334533691406,4734452.0,7309434.0,50.04898834228516
South Africa,10.04,6084.97,81.2,2.0,14.9,1.7,0.2,0.4,0.3,0.1,0.69,9.67,932695.0,2010,291.5,272.92,0.43,23.6,51784930.0,24.0,4.6345529481260283e-07,82.9000015258789,31866173.0,19350794.0,50.66185760498047
South Korea,9.97,25451.0,29.4,0.2,46.4,0.11,22.9,0.8,0.2,0.0,0.79,11.64,0.0,2010,291.5,648.0,0.17,36.6,48813036.0,50.0,1.0243165370824301e-06,100.0,40602657.0,8951455.0,49.89543914794922
Spain,10.03,25702.71,78.6,2.1,19.0,0.04,0.0,0.04,0.02,0.1,0.8,9.36,3610000.0,2010,291.5,395.0,1.22,39.1,46572776.0,1.0,2.1471771405681293e-08,100.0,36535850.0,10041047.0,50.573974609375
Sri Lanka,3.92,2950.39,0.0,0.0,0.0,30.6,70.3,0.0,0.0,0.0,0.27,10.24,0.0,2010,291.5,272.92,0.53,29.2,20668556.0,8485.0,0.0004105269860168267,85.30000305175781,3692904.0,16568834.0,51.30569076538086
Sudan,0.0,1344.17,5.4,90.7,1.0,0.0,0.0,2.8,0.0,0.0,0.06,3.13,0.0,2010,291.5,272.92,1.05,17.5,33739932.0,1504.0,4.457626055677883e-05,38.03977584838867,11430600.0,23114414.0,50.1164436340332
Suriname,6.22,8941.99,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2,0.65,8.73,0.0,2010,291.5,50.0,0.49,25.7,546085.0,0.0,0.0,91.19751739501952,351043.0,178083.0,49.62976837158203
Sweden,9.49,48369.91,76.2,4.6,27.0,0.2,0.4,0.2,0.2,0.1,0.88,12.21,0.0,2010,291.5,101.0,2.94,39.7,9381722.0,2.0,2.1318048008670476e-07,100.0,7976659.0,1401467.0,50.19071578979492
Switzerland,11.41,82026.73,81.3,5.5,11.9,0.4,0.4,0.0,0.1,0.3,0.85,13.32,103094.0,2010,291.5,51.0,2.18,40.5,7822444.0,0.0,0.0,100.0,5759681.0,2065228.0,50.75993728637695
Syria,0.88,1592.35,5.2,92.8,2.0,0.0,0.0,0.0,0.0,0.0,0.03,6.25,72.0,2010,291.5,558.0,0.95,20.8,22337558.0,10.0,4.476765096703946e-07,92.6999969482422,11877573.0,9484968.0,49.514198303222656
Tajikistan,2.4,783.52,1.6,96.7,1.5,0.01,0.0,0.0,0.0,0.0,0.09,11.17,215.0,2010,291.5,167.0,0.39,19.8,7621785.0,102.0,1.338269184974386e-05,98.67150115966795,1996266.0,5531131.0,49.54646301269531
Tanzania,9.74,808.14,61.4,35.2,1.4,0.1,0.0,1.8,0.07,0.0,0.36,5.22,0.0,2010,291.5,272.92,0.48,16.4,45110532.0,21.0,4.655232175049498e-07,14.800000190734863,12467584.0,31878948.0,50.12132263183594
Thailand,7.71,5163.6,0.9,5.5,0.3,0.2,93.2,0.09,0.0,0.0,0.48,7.61,0.0,2010,291.5,272.92,0.44,34.5,68270490.0,515.0,7.543522831021134e-06,99.6999969482422,29469053.0,37725979.0,50.99149703979492
Timor,0.7,1185.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,4.42,0.0,2010,291.5,46.0,0.13,17.9,1088492.0,0.0,0.0,38.0,303254.0,790263.0,49.45281982421875
Togo,2.11,483.24,43.7,20.0,6.2,0.0,0.0,35.6,0.6,0.0,0.28,3.83,0.0,2010,291.5,636.0,0.27,17.9,6571862.0,0.0,0.0,30.79174423217773,2410247.0,4011427.0,50.39248275756836
Tonga,1.39,3769.07,99.0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0,10.75,0.0,2010,291.5,4.0,0.34,20.1,107401.0,0.0,0.0,92.67671966552734,24320.0,79661.0,49.865840911865234
Trinidad and Tobago,6.21,18105.35,65.9,5.9,1.9,22.7,0.3,1.9,1.4,0.0,0.65,10.47,0.0,2010,291.5,561.0,0.58,30.3,1410297.0,0.0,0.0,100.0,717530.0,610614.0,50.475399017333984
Tunisia,1.4,3975.73,0.2,99.5,0.2,0.0,0.0,0.0,0.0,0.1,0.13,6.65,22150.0,2010,291.5,320.0,1.11,27.8,10895063.0,0.0,0.0,99.5,7089135.0,3546110.0,50.13718032836914
Turkey,2.32,8491.59,0.4,98.0,1.2,0.0,0.05,0.03,0.2,0.03,0.49,7.09,27950.0,2010,291.5,272.92,0.2,27.1,73195350.0,218.0,2.978331273776271e-06,100.0,51225592.0,21101400.0,50.82852935791016
Turkmenistan,4.82,4265.95,6.4,93.0,0.5,0.0,0.0,0.0,0.0,0.0,0.01,10.95,37737.0,2010,291.5,214.0,0.89,23.1,5267975.0,80.0,1.5186100921131933e-05,100.0,2466839.0,2620372.0,50.807743072509766
Tuvalu,1.68,2820.6,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,9.42,0.0,2010,316.0,272.92,0.61,23.2,10570.0,0.0,0.0,96.6302719116211,5765.0,4756.0,0.5
Uganda,13.5,767.74,86.7,11.5,0.5,0.3,0.0,0.9,0.1,0.0,0.26,5.89,0.0,2010,291.5,272.92,0.19,14.0,32341724.0,311.0,9.616061283560518e-06,12.100000381469728,6285551.0,26142613.0,50.922847747802734
Ukraine,13.57,2315.1,83.8,1.2,14.7,0.0,0.0,0.0,0.0,0.1,0.38,11.51,300200.0,2010,291.5,272.92,2.3,38.3,45683024.0,39.0,8.537088087688766e-07,100.0,31465493.0,14405248.0,53.84177017211914
United Arab Emirates,3.15,32534.82,14.0,70.0,1.1,10.0,2.0,0.0,0.8,0.0,0.09,9.83,0.0,2010,291.5,79.0,5.44,26.3,8481775.0,1.0,1.1789984997244091e-07,100.0,7189437.0,1360561.0,25.193363189697266
United Kingdom,12.06,42487.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,13.21,1290.0,2010,291.5,272.92,3.68,38.5,62760050.0,104.0,1.6571051170290655e-06,100.0,51030310.0,11736055.0,50.87397003173828
United States,9.36,52760.0,78.3,0.9,16.4,0.6,1.2,0.2,0.6,1.8,0.79,13.05,2711000.0,2010,291.5,272.92,9.28,36.1,311182850.0,579.0,1.8606423843730463e-06,100.0,249849720.0,59477423.0,50.613189697265625
Uruguay,7.1,13433.06,57.9,0.0,40.7,0.0,0.0,0.8,0.3,0.3,0.84,8.33,76863.0,2010,291.5,204.0,0.3,33.0,3352653.0,0.0,0.0,99.3000030517578,3171624.0,187649.0,51.808441162109375
Uzbekistan,3.01,2131.36,2.3,96.7,0.8,0.01,0.01,0.01,0.0,0.01,0.03,10.97,21280.0,2010,291.5,804.0,0.65,23.5,28614234.0,81.0,2.8307589851959694e-06,99.9128875732422,14554257.0,14008143.0,50.265625
Vanuatu,1.7,2855.87,93.3,0.1,1.2,0.0,0.0,4.1,1.4,0.0,0.49,6.68,0.0,2010,291.5,6.0,0.53,19.2,245464.0,0.0,0.0,44.09999847412109,57783.0,178433.0,49.22740173339844
Venezuela,8.67,11936.7626,89.3,0.3,10.0,0.0,0.0,0.2,0.07,0.0,0.26,8.69,0.0,2010,291.5,272.92,0.27,24.8,28715026.0,0.0,0.0,99.05494689941406,25050754.0,3389188.0,50.10624313354492
Vietnam,4.9,1648.26,8.2,0.2,29.6,0.21,16.4,45.3,0.4,0.0,0.19,7.63,5982.0,2010,291.5,272.92,0.79,27.7,87411016.0,2.0,2.288041132023909e-08,97.43000030517578,26757122.0,61210533.0,50.26994323730469
World,6.28,9348.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,7.77,27013881.0,2010,291.5,272.92,1.24,27.3,6985603000.0,54505.0,7.802476035354428e-06,83.22254180908203,3573943037.0,3346098292.0,49.5819091796875
Yemen,0.18,2722.52,0.2,99.1,0.1,0.6,0.0,0.0,0.0,0.0,0.18,2.6,0.0,2010,291.5,272.92,0.94,16.5,24743944.0,520.0,2.101524316414554e-05,60.67519378662109,7357686.0,15797168.0,49.59335708618164
Zambia,5.43,1214.69,97.6,1.0,0.5,0.1,0.0,0.3,0.9,0.0,0.46,6.32,0.0,2010,291.5,996.0,0.5,15.5,13792095.0,0.0,0.0,22.0,5354636.0,8251350.0,50.62091064453125
Zimbabwe,3.93,1110.45,87.0,1.0,7.9,0.0,0.0,3.8,0.3,0.08,0.18,7.67,1750.0,2010,291.5,272.92,1.16,17.1,12839774.0,7.0,5.451809354276796e-07,38.78255081176758,4215138.0,8482590.0,52.361366271972656
