Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female
Bulgaria,11.32,6427.81,64.7,9.8,15.9,0.0,0.0,0.03,0.1,9.5,0.63,10.72,150083.0,2010,291.5,147.0,0.8,41.0,7592271.0,0.0,0.0,100.0,5347166.0,2048433.0,51.30469131469727
Burkina Faso,8.58,582.42,22.5,62.0,0.4,0.0,0.0,15.4,0.0,0.0,0.45,0.87,0.0,2010,291.5,272.92,0.37,16.0,16116851.0,3.0,1.861405804396901e-07,13.100000381469728,3844032.0,11761179.0,50.41644287109375
Burundi,7.66,313.31,91.5,10.0,0.0,0.0,0.0,5.7,0.0,0.0,0.24,2.29,0.0,2010,291.5,454.0,0.23,16.5,9126612.0,273.0,2.991252394645461e-05,5.300000190734863,923258.0,7752348.0,50.575775146484375
Cambodia,4.91,892.1,0.4,2.0,0.2,0.1,96.9,0.6,0.0,0.0,0.2,4.1,0.0,2010,291.5,380.0,0.24,22.1,14363534.0,25.0,1.7405187330638826e-06,31.100000381469727,2904519.0,11407686.0,51.28598403930664
Cameroon,8.43,1248.18,70.3,30.0,5.3,0.0,0.0,3.3,2.7,0.0,0.2,5.2,0.0,2010,291.5,272.92,0.38,16.8,19878044.0,6.0,3.0184056338742386e-07,52.75955581665039,10487738.0,9853498.0,50.08271789550781
Canada,10.1,41155.32,72.0,2.1,23.7,1.4,0.8,1.2,0.9,1.0,0.75,13.51,50743.0,2010,291.5,557.0,3.66,38.7,33963416.0,16.0,4.710951336579336e-07,100.0,27522537.0,6482352.0,50.3864860534668
Cape Verde,7.51,3010.72,89.1,2.0,9.1,0.0,0.0,1.5,0.2,0.0,0.67,5.12,0.0,2010,291.5,49.0,0.16,21.7,521219.0,0.0,0.0,81.0999984741211,304557.0,188087.0,50.05196380615234
Central African Republic,3.98,531.71,89.5,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,3.57,0.0,2010,291.5,975.0,0.38,15.7,4660066.0,308.0,6.609348451288029e-05,9.800000190734863,1706627.0,2680138.0,50.4956169128418
Chad,6.58,724.03,40.6,58.0,2.5,0.0,0.0,1.4,0.1,0.0,0.12,1.84,0.0,2010,291.5,272.92,0.15,14.6,11894734.0,37.0,3.110620212272086e-06,6.400000095367432,2627677.0,9324457.0,50.11859130859375
Chile,9.31,11809.14,89.4,0.0,8.6,0.0,0.06,1.5,0.2,0.1,0.8,9.85,884413.0,2010,291.5,804.0,0.29,31.6,17004166.0,0.0,0.0,99.53839111328124,14857028.0,2205503.0,50.786895751953125
China,7.07,5647.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6.73,1600000.0,2010,291.5,272.92,0.62,34.1,1348191400.0,19.0,1.4092954457356723e-08,99.6999969482422,658498663.0,679206337.0,48.61129760742188
Colombia,5.04,5162.71,86.0,0.2,11.0,0.01,0.01,1.0,2.0,0.01,0.36,7.39,8230.0,2010,291.5,272.92,0.19,26.4,44816104.0,498.0,1.1112077033737694e-05,96.78899383544922,35257425.0,9965274.0,50.998817443847656
