Country,Alcohol_Consumption,GDP,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk_religion,Other_religion,Jewish,Democracy,Education,Wine,Year,Depression,Homicides,"Drug_deaths_per_100,000",Median_age,Population,conflict_deaths,deaths_to_pop_rate,elec_acc_pct_pop,Urban_population,Rural_population,pct_female,urban_pop_share,suicide_death_rate,depression_per_pop
Bosnia and Herzegovina,6.92,4729.69,45.9,50.7,2.5,0.0,0.0,0.0,0.0,0.0,0.32,9.29,5369.0,2015,118977.0,60.0,0.27,39.5,3524328.0,4.0,1.1349681414442697e-06,99.6999969482422,1617733.0,1811629.0,50.97213363647461,47.17,8.7,0.03375877614115372
Botswana,6.86,6402.91,72.1,0.4,20.6,0.3,0.0,6.0,0.6,0.0,0.55,10.02,0.0,2015,83562.0,359.0,0.37,22.2,2305177.0,0.0,0.0,62.130001068115234,1424167.0,696549.0,51.84569549560547,67.15,20.4,0.03624971097664084
Brazil,7.86,8813.99,95.9,0.02,7.9,0.0,0.1,2.8,0.2,0.06,0.8,7.51,270000.0,2015,8522725.0,64859.0,0.47,30.3,205188210.0,36.0,1.7544867709504363e-07,99.71089935302734,175375428.0,29096331.0,50.77192306518555,85.77,6.0,0.041536134069301546
Brunei,0.46,31164.04,9.4,75.1,0.4,0.5,8.6,6.2,0.1,0.0,0.0,9.02,0.0,2015,6805.0,5.0,0.6,28.9,421449.0,0.0,0.0,100.0,318086.0,96828.0,47.98247528076172,76.66,5.8,0.01614667492389352
Bulgaria,12.34,7074.68,64.7,9.8,15.9,0.0,0.0,0.03,0.1,9.5,0.55,11.19,156800.0,2015,253327.0,112.0,0.74,42.6,7309255.0,0.0,0.0,100.0,5310996.0,1866995.0,51.36443328857422,73.99,10.4,0.034658388577221616
Burkina Faso,11.83,653.33,22.5,62.0,0.4,0.0,0.0,15.4,0.0,0.0,0.35,1.44,0.0,2015,620453.0,1785.0,0.43,16.0,18718022.0,25.0,1.3356112093467995e-06,16.076974868774414,4985853.0,13124763.0,50.20173645019531,27.53,13.0,0.03314735926691399
Burundi,7.03,305.55,91.5,10.0,0.0,0.0,0.0,5.7,0.0,0.0,0.09,2.29,0.0,2015,335029.0,615.0,0.24,15.6,10727153.0,666.0,6.208543869934549e-05,8.427652359008789,1227129.0,8932905.0,50.48505783081055,12.08,12.8,0.03123186552853306
Cambodia,6.37,1162.91,0.4,2.0,0.2,0.1,96.9,0.6,0.0,0.0,0.16,4.6,0.0,2015,429336.0,379.0,0.24,24.2,15417527.0,2.0,1.2972249051355643e-07,64.9104232788086,3443896.0,12077539.0,51.22589492797852,22.19,5.3,0.02784726759356413
Cameroon,6.17,1382.51,70.3,30.0,5.3,0.0,0.0,3.3,2.7,0.0,0.2,5.93,0.0,2015,854653.0,1640.0,0.4,17.1,23012650.0,1714.0,7.448077470434739e-05,58.5955924987793,12715788.0,10582588.0,50.03565979003906,54.58,14.3,0.03713839996697468
Canada,8.88,43596.14,72.0,2.1,23.7,1.4,0.8,1.2,0.9,1.0,0.71,13.7,59790.0,2015,1240746.0,608.0,5.11,39.6,35732120.0,0.0,0.0,100.0,29011826.0,6691082.0,50.41412734985352,81.26,11.7,0.034723548448846585
