Country,GDP
Afghanistan,$345.93
Albania,"$2,675.51"
Algeria,"$3,752.10"
American Samoa,"$12,628.51"
Andorra,"$39,782.93"
Angola,"$3,220.08"
Antigua and Barbuda,"$15,122.19"
Argentina,"$11,192.18"
Armenia,"$2,364.18"
Aruba,"$29,670.29"
Australia,"$50,332.88"
Austria,"$41,281.27"
Azerbaijan,"$2,631.76"
Bahamas,"$35,637.79"
Bahrain,"$22,343.54"
Bangladesh,$769.14
Barbados,"$16,921.94"
Belarus,"$3,880.01"
Belgium,"$38,426.05"
Belize,"$4,773.62"
Benin,$943.63
Bermuda,"$119,396.45"
Bhutan,"$1,489.21"
Bolivia,"$2,186.19"
Bosnia and Herzegovina,"$3,501.56"
Botswana,"$4,986.33"
Brazil,"$7,352.28"
Brunei,"$34,441.12"
Bulgaria,"$5,230.98"
Burkina Faso,$518.17
Burundi,$295.74
Cambodia,$696.34
Cameroon,"$1,217.76"
Canada,"$38,573.20"
Cape Verde,"$2,410.77"
Cayman Islands,"2006 $91,341.30"
Central African Republic,$454.51
Chad,$676.16
Chile,"$10,349.64"
China,"$3,390.71"
Colombia,"$4,402.90"
Comoros,"$1,182.21"
Congo,"$2,171.44"
Costa Rica,"$8,606.33"
Cote d'Ivoire,"$1,565.43"
Croatia,"$11,399.78"
Cuba,"$5,182.82"
Curacao,"$21,870.78"
Cyprus,"$25,629.58"
Czechia,"$14,978.41"
Democratic Republic of Congo,$363.67
Denmark,"$51,835.83"
Djibouti,"2013 $2,386.25"
Dominica,"$6,501.41"
Dominican Republic,"$4,647.04"
East Asia and Pacific,"$6,102.32"
Ecuador,"$4,892.69"
Egypt,"$2,830.35"
El Salvador,"$3,140.03"
Equatorial Guinea,"$12,908.06"
Eritrea,$762.40
Estonia,"$14,631.39"
Eswatini,"$2,902.10"
Ethiopia,$310.48
Europe and Central Asia,"$20,456.85"
European Union,"$28,178.26"
Faeroe Islands,"2015 $52,400.30"
Fiji,"$4,570.29"
Finland,"$42,530.62"
France,"$35,213.89"
Gabon,"$7,504.26"
Gambia,$711.28
Georgia,"$2,329.57"
Germany,"$35,310.47"
Ghana,"$1,175.86"
Greece,"$22,185.62"
Greenland,"$36,681.84"
Grenada,"$8,558.83"
Guam,"$33,743.74"
Guatemala,"$3,320.16"
Guinea,$661.10
Guinea-Bissau,$562.38
Guyana,"$3,944.44"
Haiti,"$1,283.90"
High income,"$37,105.06"
Honduras,"$1,967.22"
Hong Kong,"$32,401.21"
Hungary,"$11,282.93"
Iceland,"$48,850.77"
India,$953.57
Indonesia,"$2,199.09"
Iran,"$4,634.01"
Iraq,"$3,493.34"
Ireland,"$49,381.78"
Isle of Man,"$57,642.34"
Israel,"$28,809.64"
Italy,"$33,257.77"
Jamaica,"$5,138.45"
Japan,"$33,098.55"
Jordan,"$4,341.19"
Kazakhstan,"$7,155.34"
Kenya,"$1,195.77"
Kiribati,"$1,529.18"
Kosovo,"2008 $2,621.42"
Kuwait,"$39,849.60"
Kyrgyzstan,$820.72
Laos,"$1,172.22"
Latin America and Caribbean,"$7,186.05"
Latvia,"$10,527.91"
Lebanon,"$6,682.65"
Lesotho,$835.61
Liberia,$553.57
Libya,"$7,825.22"
Liechtenstein,"2015 $167,313.27"
Lithuania,"$9,766.49"
Low and middle income,"$2,778.01"
Low income,$678.77
Lower middle income,"$1,442.49"
Luxembourg,"$101,222.05"
Macao,"$48,495.21"
Madagascar,$471.19
Malawi,$289.05
Malaysia,"$7,274.97"
Maldives,"$6,589.13"
Mali,$687.93
Malta,"$18,133.97"
Marshall Islands,"$3,080.34"
Mauritania,"$1,378.60"
Mauritius,"$6,316.44"
Mexico,"$8,877.85"
Micronesia (country),"$3,022.80"
Middle East and North Africa,"$6,201.01"
Middle income,"$2,969.37"
Moldova,"$1,907.12"
Monaco,"$125,925.47"
Mongolia,"$2,068.40"
Montenegro,"$5,010.95"
Morocco,"$2,109.06"
Mozambique,$383.71
Myanmar,$542.22
Namibia,"$3,680.66"
Nauru,"$3,347.25"
Nepal,$617.79
Netherlands,"$42,201.78"
New Caledonia,"2015 $32,520.29"
New Zealand,"$35,064.50"
Nicaragua,"$1,573.05"
Niger,$411.13
Nigeria,"$1,948.05"
North America,"$51,410.21"
North Macedonia,"$3,600.95"
Northern Mariana Islands,"$24,129.46"
Norway,"$73,036.74"
Oman,"$19,448.46"
Pakistan,"$1,175.44"
Palau,"$13,205.50"
Palestine,"$2,632.25"
Panama,"$7,815.23"
Papua New Guinea,"$1,887.67"
Paraguay,"$3,922.56"
Peru,"$3,867.53"
Philippines,"$2,077.77"
Poland,"$8,569.43"
Portugal,"$19,224.04"
Puerto Rico,"$29,815.26"
Qatar,"$57,624.13"
Romania,"$6,299.41"
Russia,"$7,323.38"
Rwanda,$456.59
Saint Kitts and Nevis,"$16,652.50"
Saint Lucia,"$9,664.94"
Saint Vincent and the Grenadines,"$6,166.29"
Samoa,"$4,031.45"
San Marino,"$60,080.32"
Sao Tome and Principe,"$1,206.10"
Saudi Arabia,"$18,683.38"
Senegal,"$1,133.72"
Serbia,"$4,404.96"
Seychelles,"$10,566.55"
Sierra Leone,$471.89
Singapore,"$41,726.11"
Sint Maarten (Dutch part),"2009 $32,365.12"
Slovakia,"$11,425.90"
Slovenia,"$19,239.40"
Solomon Islands,"$1,826.66"
Somalia,2013 $330.42
South Africa,"$5,587.79"
South Asia,$962.18
South Korea,"$21,193.36"
South Sudan,"2008 $2,310.33"
Spain,"$26,146.16"
Sri Lanka,"$2,244.82"
Sub-Saharan Africa,"$1,394.92"
Sudan,"$1,302.55"
Suriname,"$7,550.38"
Sweden,"$45,990.38"
Switzerland,"$76,784.64"
Syria,"$1,433.82"
Tajikistan,$630.78
Tanzania,$692.48
Thailand,"$4,412.44"
Timor,$918.73
Togo,$467.82
Tonga,"$3,875.16"
Trinidad and Tobago,"$15,312.72"
Tunisia,"$3,350.56"
Turkey,"$7,738.58"
Turkmenistan,"$2,786.77"
Turks and Caicos Islands,"2011 $23,307.92"
Tuvalu,"$2,722.40"
Uganda,$610.49
Ukraine,"$2,144.25"
United Arab Emirates,"$53,844.72"
United Kingdom,"$43,137.25"
United States,"$52,796.09"
United States Virgin Islands,"$46,021.59"
Upper middle income,"$4,760.18"
Uruguay,"$10,169.60"
Uzbekistan,"$1,560.29"
Vanuatu,"$2,621.91"
Vietnam,"$1,273.35"
World,"$8,655.98"
Yemen,"$2,536.19"
Zambia,$918.31
Zimbabwe,"$1,137.30"
