Country,Democracy
Afghanistan,0.34
Africa,0.32
Albania,0.27
Algeria,0.23
Angola,0.13
Argentina,0.6
Armenia,0.23
Asia,0.26
Australia,0.81
Austria,0.8
Azerbaijan,0.06
Bahrain,0.05
Bangladesh,0.14
Barbados,0.66
Belarus,0.11
Belgium,0.81
Benin,0.57
Bhutan,0.48
Bolivia,0.46
Bosnia and Herzegovina,0.32
Botswana,0.55
Brazil,0.8
Bulgaria,0.55
Burkina Faso,0.35
Burundi,0.09
Cambodia,0.16
Cameroon,0.2
Canada,0.71
Cape Verde,0.68
Central African Republic,0.13
Chad,0.12
Chile,0.82
China,0.16
Colombia,0.57
Comoros,0.33
Congo,0.19
Costa Rica,0.86
Cote d'Ivoire,0.4
Croatia,0.66
Cuba,0.1
Cyprus,0.74
Czechia,0.73
Democratic Republic of Congo,0.15
Denmark,0.88
Djibouti,0.14
Dominican Republic,0.41
East Germany,
Ecuador,0.37
Egypt,0.12
El Salvador,0.47
Equatorial Guinea,0.07
Eritrea,0.02
Estonia,0.82
Eswatini,0.09
Ethiopia,0.14
Europe,0.64
Fiji,0.3
Finland,0.8
France,0.82
Gabon,0.33
Gambia,0.09
Georgia,0.54
Germany,0.85
Ghana,0.61
Greece,0.77
Guatemala,0.39
Guinea,0.16
Guinea-Bissau,0.29
Guyana,0.39
Haiti,0.27
Honduras,0.29
Hong Kong,0.28
Hungary,0.38
Iceland,0.7
India,0.42
Indonesia,0.59
Iran,0.19
Iraq,0.23
Ireland,0.8
Israel,0.57
Italy,0.81
Jamaica,0.7
Japan,0.74
Jordan,0.22
Kazakhstan,0.1
Kenya,0.42
Kosovo,0.37
Kuwait,0.3
Kyrgyzstan,0.39
Laos,0.05
Latvia,0.73
Lebanon,0.41
Lesotho,0.44
Liberia,0.5
Libya,0.24
Lithuania,0.75
Luxembourg,0.84
Madagascar,0.25
Malawi,0.43
Malaysia,0.25
Maldives,0.22
Mali,0.44
Malta,0.63
Mauritania,0.29
Mauritius,0.68
Mexico,0.49
Moldova,0.41
Mongolia,0.57
Montenegro,0.37
Morocco,0.26
Mozambique,0.31
Myanmar,0.31
Namibia,0.57
Nepal,0.43
Netherlands,0.81
New Zealand,0.77
Nicaragua,0.18
Niger,0.56
Nigeria,0.43
North America,0.51
North Korea,0.01
North Macedonia,0.26
Norway,0.87
Oceania,0.51
Oman,0.07
Pakistan,0.31
Palestine,
Palestine/Gaza,0.07
Palestine/West Bank,0.23
Panama,0.63
Papua New Guinea,0.25
Paraguay,0.33
Peru,0.61
Philippines,0.5
Poland,0.71
Portugal,0.81
Qatar,0.1
Republic of Vietnam,
Romania,0.53
Russia,0.14
Rwanda,0.21
Sao Tome and Principe,0.55
Saudi Arabia,0.05
Senegal,0.61
Serbia,0.3
Seychelles,0.36
Sierra Leone,0.39
Singapore,0.36
Slovakia,0.64
Slovenia,0.79
Solomon Islands,0.36
Somalia,0.12
Somaliland,0.27
South Africa,0.64
South America,0.54
South Korea,0.57
South Sudan,0.05
Spain,0.75
Sri Lanka,0.45
Sudan,0.08
Suriname,0.63
Sweden,0.88
Switzerland,0.87
Syria,0.02
Taiwan,0.66
Tajikistan,0.05
Tanzania,0.37
Thailand,0.03
Timor,0.43
Togo,0.39
Trinidad and Tobago,0.63
Tunisia,0.67
Turkey,0.15
Turkmenistan,0.03
Uganda,0.27
Ukraine,0.35
United Arab Emirates,0.09
United Kingdom,0.73
United States,0.85
Uruguay,0.83
Uzbekistan,0.04
Vanuatu,0.57
Venezuela,0.07
Vietnam,0.21
World,0.41
Yemen,0.05
Yemen People's Republic,
Zambia,0.28
Zanzibar,0.2
Zimbabwe,0.2
