Country ,Christian ,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish
Bermuda,75.00%,1.10%,19.40%,0.00%,0.50%,3.00%,0.80%,0.30%
Canada,72.00%,2.10%,23.70%,1.40%,0.80%,1.20%,0.90%,1.00%
Greenland,96.10%,0.00%,2.50%,0.00%,0.00%,0.80%,0.60%,0.00%
Mexico,95.10%,0.01%,4.70%,0.00%,0.07%,0.06%,0.02%,0.06%
Saint Pierre and Miquelon,94.70%,0.20%,3.80%,0.00%,0.00%,0.00%,1.30%,0.00%
United States,78.30%,0.90%,16.40%,0.60%,1.20%,0.20%,0.60%,1.80%
Argentina,85.20%,1.00%,12.20%,0.00%,0.05%,0.80%,0.30%,0.50%
Bolivia,93.90%,0.00%,4.10%,0.00%,0.00%,0.90%,1.00%,0.00%
Brazil,95.90%,0.02%,7.90%,0.00%,0.10%,2.80%,0.20%,0.06%
Chile,89.40%,0.00%,8.60%,0.00%,0.06%,1.50%,0.20%,0.10%
Colombia,86.00%,0.20%,11.00%,0.01%,0.01%,1.00%,2.00%,0.01%
Ecuador,94.10%,0.00%,5.50%,0.00%,0.00%,0.30%,0.00%,0.00%
Falkland Islands,67.20%,0.30%,31.50%,0.00%,0.20%,0.00%,0.80%,0.00%
French Guiana,84.40%,0.90%,3.40%,1.60%,0.00%,9.10%,0.50%,0.00%
Guyana,66.00%,6.40%,2.00%,27.90%,0.00%,0.20%,0.60%,0.00%
Paraguay,96.90%,0.00%,1.10%,0.00%,0.00%,1.70%,0.20%,0.00%
Peru,93.00%,0.00%,6.50%,0.00%,0.20%,1.00%,0.30%,0.00%
Suriname,51.60%,15.20%,5.40%,19.80%,0.60%,5.30%,1.80%,0.20%
Uruguay,57.90%,0.00%,40.70%,0.00%,0.00%,0.80%,0.30%,0.30%
Venezuela,89.30%,0.30%,10.00%,0.00%,0.00%,0.20%,0.07%,0.00%
Mainland China,5.1,1.8,52.2,0.01,18.2,21.9,0.7,0
Hong Kong,14.3,1.8,56.1,0.53,13.2,12.8,1.5,0
Macau,7.2,0.2,15.4,0.04,17.3,58.9,1,0
Taiwan,5.5,0.04,12.7,0.01,21.3,44.2,16.2,0
Japan,1.6,0.2,57,0.04,36.2,0.4,4.7,0
North Korea,2,0,71.3,0,1.5,12.3,12.9,0
South Korea,29.4,0.2,46.4,0.11,22.9,0.8,0.2,0
Mongolia,2.3,3.2,35.9,0.01,55.1,3.5,0,0
Brunei,9.4,75.1,0.4,0.5,8.6,6.2,0.1,0
Cambodia,0.4,2,0.2,0.1,96.9,0.6,0,0
Indonesia,10.53,83.91,3.04,1.69,0.73,0.04,0.02,0
