Country,GDP
Portugal,"$19,670.36"
Puerto Rico,"$28,592.12"
Qatar,"$63,001.71"
Romania,"$7,626.29"
Russia,"$8,755.11"
Rwanda,$599.21
Saint Kitts and Nevis,"$16,718.10"
Saint Lucia,"$10,151.05"
Saint Vincent and the Grenadines,"$6,617.78"
Samoa,"$4,080.92"
San Marino,"$52,932.43"
Sao Tome and Principe,"$1,402.30"
Saudi Arabia,"$18,568.37"
Senegal,"$1,149.65"
Serbia,"$5,206.09"
Seychelles,"$12,080.94"
Sierra Leone,$535.82
Singapore,"$48,668.58"
Sint Maarten (Dutch part),"$33,579.30"
Slovakia,"$14,526.40"
Slovenia,"$20,612.59"
Solomon Islands,"$2,099.33"
Somalia,2013 $330.42
South Africa,"$6,084.97"
South Asia,"$1,221.21"
South Korea,"$25,451.00"
South Sudan,"$2,352.42"
Spain,"$25,702.71"
Sri Lanka,"$2,950.39"
Sub-Saharan Africa,"$1,581.49"
Sudan,"$1,344.17"
Suriname,"$8,941.99"
Sweden,"$48,369.91"
Switzerland,"$82,026.73"
Syria,"$1,592.35"
Tajikistan,$783.52
Tanzania,$808.14
Thailand,"$5,163.60"
Timor,"$1,185.62"
Togo,$483.24
Tonga,"$3,769.07"
Trinidad and Tobago,"$18,105.35"
Tunisia,"$3,975.73"
Turkey,"$8,491.59"
Turkmenistan,"$4,265.95"
Turks and Caicos Islands,"2011 $23,307.92"
Tuvalu,"$2,820.60"
Uganda,$767.74
Ukraine,"$2,315.10"
United Arab Emirates,"$32,534.82"
United Kingdom,"$42,487.93"
United States,"$52,760.00"
United States Virgin Islands,"$47,162.74"
Upper middle income,"$6,503.71"
Uruguay,"$13,433.06"
Uzbekistan,"$2,131.36"
Vanuatu,"$2,855.87"
Vietnam,"$1,648.26"
World,"$9,348.30"
Yemen,"$2,722.52"
Zambia,"$1,214.69"
Zimbabwe,"$1,110.45"
