Country,GDP
Afghanistan,$526.10
Albania,"$3,577.11"
Algeria,"$3,918.49"
American Samoa,"$12,256.34"
Andorra,"$34,667.17"
Angola,"$3,988.62"
Antigua and Barbuda,"$13,986.84"
Argentina,"$13,551.34"
Armenia,"$2,958.84"
Aruba,"$25,857.49"
Australia,"$53,542.83"
Austria,"$43,334.51"
Azerbaijan,"$5,215.02"
Bahamas,"$32,238.12"
Bahrain,"$20,982.34"
Bangladesh,$972.91
Barbados,"$16,754.63"
Belarus,"$5,621.94"
Belgium,"$39,777.93"
Belize,"$4,728.77"
Benin,$988.61
Bermuda,"$115,839.80"
Bhutan,"$2,235.32"
Bolivia,"$2,514.43"
Bosnia and Herzegovina,"$4,095.96"
Botswana,"$5,642.22"
Brazil,"$8,702.25"
Brunei,"$33,437.12"
Bulgaria,"$6,427.81"
Burkina Faso,$582.42
Burundi,$313.31
Cambodia,$892.10
Cameroon,"$1,248.18"
Canada,"$41,155.32"
Cape Verde,"$3,010.72"
Cayman Islands,"$75,877.17"
Central African Republic,$531.71
Chad,$724.03
Chile,"$11,809.14"
China,"$5,647.06"
Colombia,"$5,162.71"
Comoros,"$1,208.48"
Congo,"$2,421.71"
Costa Rica,"$10,236.98"
Cote d'Ivoire,"$1,687.22"
Croatia,"$11,748.95"
Cuba,"$6,759.34"
Curacao,"$21,450.31"
Cyprus,"$26,019.76"
Czechia,"$16,505.95"
Democratic Republic of Congo,$404.15
Denmark,"$51,173.46"
Djibouti,"2013 $2,386.25"
Dominica,"$7,680.48"
Dominican Republic,"$5,771.92"
East Asia and Pacific,"$7,767.24"
Ecuador,"$5,323.74"
Egypt,"$3,485.28"
El Salvador,"$3,334.93"
Equatorial Guinea,"$13,841.40"
Eritrea,$653.87
Estonia,"$14,585.84"
Eswatini,"$3,304.44"
Ethiopia,$453.30
Europe and Central Asia,"$21,424.77"
European Union,"$29,211.43"
Faeroe Islands,"2015 $52,400.30"
Fiji,"$4,523.87"
Finland,"$43,563.57"
France,"$35,639.80"
Gabon,"$6,863.54"
Gambia,$753.18
Georgia,"$3,100.72"
Germany,"$37,760.91"
Ghana,"$1,419.12"
Greece,"$21,560.35"
Greenland,"$43,198.08"
Grenada,"$8,057.69"
Guam,"$34,094.35"
Guatemala,"$3,606.43"
Guinea,$689.26
Guinea-Bissau,$585.69
Guyana,"$4,847.43"
Haiti,"$1,296.81"
High income,"$37,907.89"
Honduras,"$2,106.00"
Hong Kong,"$38,089.78"
Hungary,"$11,313.52"
Iceland,"$48,193.70"
India,"$1,244.37"
Indonesia,"$2,720.19"
Iran,"$5,332.11"
Iraq,"$4,052.06"
Ireland,"$45,932.02"
Isle of Man,"$69,933.09"
Israel,"$32,504.71"
Italy,"$32,058.17"
Jamaica,"$4,888.58"
Japan,"$32,942.20"
Jordan,"$4,644.17"
Kazakhstan,"$8,979.33"
Kenya,"$1,326.39"
Kiribati,"$1,367.74"
Kosovo,"$2,843.38"
Kuwait,"$32,035.38"
Kyrgyzstan,$966.15
Laos,"$1,586.20"
Latin America and Caribbean,"$8,110.58"
Latvia,"$10,963.68"
Lebanon,"$9,135.50"
Lesotho,$995.58
Liberia,$648.55
Libya,"$8,870.66"
Liechtenstein,"2015 $167,313.27"
Lithuania,"$11,106.95"
Low and middle income,"$3,612.17"
Low income,$777.63
Lower middle income,"$1,762.83"
Luxembourg,"$106,544.05"
Macao,"$73,991.01"
Madagascar,$469.24
Malawi,$358.94
Malaysia,"$8,247.78"
Maldives,"$8,521.84"
Mali,$731.53
Malta,"$20,557.65"
Marshall Islands,"$3,208.02"
Mauritania,"$1,417.05"
Mauritius,"$7,817.84"
Mexico,"$8,878.56"
Micronesia (country),"$3,084.75"
Middle East and North Africa,"$6,887.45"
Middle income,"$3,891.78"
Moldova,"$2,254.93"
Monaco,"$132,094.02"
Mongolia,"$2,629.65"
Montenegro,"$5,979.52"
Morocco,"$2,534.26"
Mozambique,$479.88
Myanmar,$902.54
Namibia,"$4,147.32"
Nauru,"$4,116.75"
Nepal,$731.66
Netherlands,"$44,390.50"
New Caledonia,"2015 $32,520.29"
New Zealand,"$35,406.68"
Nicaragua,"$1,679.04"
Niger,$443.35
Nigeria,"$2,403.65"
North America,"$51,622.81"
North Macedonia,"$4,339.96"
Northern Mariana Islands,"$16,329.53"
Norway,"$72,426.56"
Oman,"$20,640.31"
Pakistan,"$1,238.87"
Palau,"$13,040.54"
Palestine,"$2,927.08"
Panama,"$10,232.36"
Papua New Guinea,"$2,235.10"
Paraguay,"$4,767.28"
Peru,"$5,177.84"
Philippines,"$2,433.01"
Poland,"$10,858.54"
